original_group_name	superfamily	family	original_species_name	accepted_tree_tip	original_MLS_value	original_MLS_unit	MLS_years	original_body_mass_value	original_body_mass_unit	body_mass_g	taxonomic_mapping_status	MLS_trait_id	MLS_source	MLS_source_link	mass_trait_id	mass_source	mass_source_link	source_access_date	captive_wild_context	sex	sample_size	duplicate_resolution_rule	included	exclusion_reason
OWM_Cercopithecidae_Allochrocebus_solatus	OWM	Cercopithecidae	Allochrocebus_solatus	Allochrocebus_solatus		years		6.35	kg	6350	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
OWM_Cercopithecidae_Cercocebus_agilis	OWM	Cercopithecidae	Cercocebus_agilis	Cercocebus_agilis	31	years	31	7.58	kg	7580	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
OWM_Cercopithecidae_Cercocebus_atys	OWM	Cercopithecidae	Cercocebus_atys	Cercocebus_atys	32.5	years	32.5	8.6	kg	8600	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
OWM_Cercopithecidae_Cercocebus_chrysogaster	OWM	Cercopithecidae	Cercocebus_chrysogaster	Cercocebus_chrysogaster		years		9.75	kg	9750	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
OWM_Cercopithecidae_Cercocebus_galeritus	OWM	Cercopithecidae	Cercocebus_galeritus	Cercocebus_galeritus		years		7.44	kg	7440	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
OWM_Cercopithecidae_Cercocebus_lunulatus	OWM	Cercopithecidae	Cercocebus_lunulatus	Cercocebus_lunulatus		years		7.28	kg	7280	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
OWM_Cercopithecidae_Cercocebus_sanjei	OWM	Cercopithecidae	Cercocebus_sanjei	Cercocebus_sanjei		years		8.05	kg	8050	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
OWM_Cercopithecidae_Cercocebus_torquatus	OWM	Cercopithecidae	Cercocebus_torquatus	Cercocebus_torquatus	46	years	46	7.5	kg	7500	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
OWM_Cercopithecidae_Cercopithecus_albogularis	OWM	Cercopithecidae	Cercopithecus_albogularis	Cercopithecus_albogularis		years		5.28	kg	5280	not_in_tree_exactly	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	False	missing_or_nonpositive_MLS
OWM_Cercopithecidae_Cercopithecus_ascanius	OWM	Cercopithecidae	Cercopithecus_ascanius	Cercopithecus_ascanius	31.2	years	31.2	3.24	kg	3240	exact_tree_tip_match	PTD00065	"VanShaik et al. 2012/Isler	 K; van Schaik	 C P (2012)/AnAge DB"	https://www.zora.uzh.ch/id/eprint/71056/ / https://www.sciencedirect.com/science/article/abs/pii/S0047248412000577	PTD00014	Galán-Acedo et al. 2019	https://www.nature.com/articles/s41597-019-0059-9	not recorded in source input	not recorded in source input	not recorded in source input	not recorded in source input	not applicable: GroupName is unique	True	
