Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel
Leontocebus_fuscicolis	Colobus_angolensis	1.28616276318	0.984578204093	78.0653383523	0.250039444689988	0.642973170066391	0.305982225514353	0.615709879836622	0.239437294760824	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cacajao_calvus	Cercopithecus_hamlyni	1.20580906763	0.904256102215	78.065338353	0.250013250828384	0.642973170072157	0.305951790715676	0.615660070463938	0.239392843724174	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_neglectus	Hoolock_hoolock	0.927282552238	1.19282123296	62.1515760363	0.220154322464127	0.511901910785797	0.302138565656958	0.556492033476935	0.23933125469044	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Papio_anubis	Papio_cynocephalus	0.777921027868	0.835707288605	4.8778566854	0.0479097623204979	0.0401757174482134	0.237012562851129	0.200685496147855	0.239318549420017	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Saimiri_sciureus	Macaca_mulatta	1.31773332654	1.0163729387	78.0653383477	0.249853587515187	0.642973170028504	0.30576626634185	0.615356374636388	0.239121949359761	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Callithrix_geoffroyi	Cheirogaleus_medius	0.965491517283	1.35534465104	121.4130573043	0.323221657535628	0.99999999987316	0.316569074555841	0.739236703575607	0.238937312671188	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Trachypithecus_obscurus	Semnopithecus_johnii	0.98330722749	0.89617345626	9.0158535405	0.0722413635434453	0.0742576930318114	0.261969092344493	0.245498193010606	0.238832146360115	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Colobus_polykomos	Eulemur_fulvus	0.935484496328	1.32517582296	121.4130573124	0.323087505562449	0.999999999939875	0.316444802193164	0.739038770540585	0.238774192902253	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cebus_albifrons	Pongo_pygmaeus	1.39875685547	1.09781218237	78.0653383502	0.249508924369787	0.642973170049095	0.305365714776919	0.614700290183749	0.238537493254706	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_maura	Eulemur_fulvus	0.935763721557	1.32517582296	121.4130573124	0.322856003918552	0.999999999939875	0.316230329323117	0.738696959704442	0.238492748531299	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Aotus_trivirgatus	Plecturocebus_cupreus	1.32469369077	1.09180759785	49.09360321045	0.193082528913357	0.40435192304876	0.298343089397835	0.499034830279141	0.238294667475899	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_arctoides	Cercopithecus_mona	0.787140639548	0.964734866524	29.8369393137	0.147240833641011	0.245747368301043	0.292136817171534	0.397449464498656	0.238133945797812	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Saguinus_bicolor	Eulemur_macaco	0.933520333916	1.32240333486	121.4130573062	0.322417334295167	0.999999999888809	0.315823857348633	0.738048417871808	0.237959603497453	11.8833270502149	-28.8301865462559	40.7135135964709	OU
