Domain	Family	Genus	SpeciesName	SamplesTMB	Maximum.lifespan..y.	Body_mass	BodyMass_kg	LQ	LQ_class
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_epieni	0					
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_foai	0			9.5		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_gordonorum	1			7.05		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_kirkii	1			6.9		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_langi	0			6.59		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_lulindicus	0					
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_oustaleti	0			10.35		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_parmentieri	0			8.3		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_pennantii	0			7.4		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_preussi	0			8.3		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_rufomitratus	0			9.0		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_semlikiensis	0					
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_temminckii	0			6.175		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_tephrosceles	1			8.75		
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_tholloni	0					
OWM	Cercopithecidae	Piliocolobus	Piliocolobus_waldronae	0			5.9		
PLA	Pitheciidae	Pithecia	Pithecia_aequatorialis	0			2.25		
PLA	Pitheciidae	Pithecia	Pithecia_albicans	3			3.0		
PLA	Pitheciidae	Pithecia	Pithecia_cazuzai	3					
PLA	Pitheciidae	Pithecia	Pithecia_chrysocephala	1			1.9		
PLA	Pitheciidae	Pithecia	Pithecia_hirsuta	6					
PLA	Pitheciidae	Pithecia	Pithecia_inusta	0					
PLA	Pitheciidae	Pithecia	Pithecia_irrorata	1			2.16		
PLA	Pitheciidae	Pithecia	Pithecia_isabela	1					
PLA	Pitheciidae	Pithecia	Pithecia_milleri	0					
PLA	Pitheciidae	Pithecia	Pithecia_mittermeieri	1					
PLA	Pitheciidae	Pithecia	Pithecia_monachus	5	24.6		2.36	0.8760934993705384	LOW
PLA	Pitheciidae	Pithecia	Pithecia_napensis	0					
PLA	Pitheciidae	Pithecia	Pithecia_pissinattii	3					
PLA	Pitheciidae	Pithecia	Pithecia_pithecia	10	36.0	7.473069088	1.76	1.3551779475377612	HIGH
PLA	Pitheciidae	Pithecia	Pithecia_rylandsi	0					
PLA	Pitheciidae	Pithecia	Pithecia_vanzolinii	1					
PLA	Pitheciidae	Plecturocebus	Plecturocebus_aureipalatii	0			0.95		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_baptista	0			1.16		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_bernhardi	7			0.95		
PLA	Pitheciidae	Plecturocebus	Plecturocebus_brunneus	2			0.83		
